month,avg_consuption_sib,avg_price_sib
2006-09,19270.2,34.33
2006-10,22163.33,133.68
2006-11,23586.46,106.48
2006-12,25209.79,185.69
2007-01,24929.27,167.53
2007-02,25005.81,197.7
2007-03,24085.06,152.17
2007-04,21476.53,96.22
2007-05,19552.65,146.77
2007-06,18713.73,118.91
2007-07,18223.97,322.51
2007-08,18576.74,455.61
2007-09,19965.76,457.57
2007-10,22746.9,486.91
2007-11,24873.06,450.21
2007-12,26372.01,395.03
2008-01,27578.05,419.08
2008-02,26846.17,525.75
2008-03,24727.5,470.53
2008-04,23364.91,508.85
2008-05,20993.22,479.66
2008-06,19421.49,509.73
2008-07,19356.5,539.77
2008-08,19547.14,605.76
2008-09,21332.27,501.24
2008-10,23120.1,607.39
2008-11,24126.64,455.86
2008-12,25981.56,414.55
2009-01,25752.06,454.35
2009-02,26175.89,493.87
2009-03,24373.48,423.67
2009-04,21744.43,422.05
2009-05,20177.58,395.69
2009-06,19044.76,359.74
2009-07,18773.28,333.78
2009-08,18995.63,366.32
2009-09,20848.32,423.18
2009-10,21866.96,443.79
2009-11,24537.28,445.52
2009-12,25974.07,471.07
2010-01,26584.75,495.97
2010-02,26593.1,487.96
2010-03,24318.23,492.91
2010-04,21981.54,497.45
2010-05,20018.74,519.71
2010-06,18993.57,458.8
2010-07,18544.27,501.92
2010-08,18962.8,486.68
2010-09,20310.34,554.24
2010-10,21951.83,474.74
2010-11,23401.59,558.46
2010-12,26364.65,547.51
2011-01,26611.67,558.84
2011-02,25198.74,560.58
2011-03,23845.2,557.07
2011-04,21478.79,521.81
2011-05,19933.95,545.51
2011-06,18474.43,561.37
2011-07,18618.97,544.98
2011-08,19070.99,537.0
2011-09,20153.39,551.11
2011-10,21535.74,562.96
2011-11,23790.08,587.04
