month,region,range,volatility_index
2019-04,South,4607.88,3.05771924402536
2019-01,South,4108.73,2.4895307405823
2017-05,Northwest,2082.01,1.93434742911181
2019-08,South,2756.36,1.84135199882943
2017-08,South,2646.07,1.75336265502178
2018-06,South,2320.79,1.74313246188853
2018-06,Northwest,1847.73,1.73880834072407
2018-02,Northwest,1744.11,1.69602126051577
2017-07,South,2202.99,1.66594653928577
2018-05,South,2084.54,1.62942244660261
2018-05,Northwest,1788.72,1.61771704536846
2019-05,Northwest,2039.02,1.60214670192247
2017-04,Northwest,1728.76,1.5837303748415
2017-06,Middle Volga,1759.11,1.57197740003045
2018-08,Siberia,1168.23,1.5389458074917
2019-09,South,2250.46,1.53786032731826
2019-07,South,2168.91,1.53359832264063
2017-07,Northwest,1542.71,1.52609125595031
2017-12,Northwest,1580.29,1.52152451057823
2018-05,Center,1875.07,1.48621108082088
2018-03,Northwest,1562.13,1.47416768248722
2017-06,Northwest,1524.08,1.473761504243
2017-11,Northwest,1573.74,1.47106253220039
2017-06,Center,1756.03,1.46668237201381
2017-06,South,1767.95,1.46050538155509
2017-07,Center,1824.05,1.45477849157914
2018-06,Center,1839.37,1.44522625090191
2018-04,Northwest,1736.27,1.44145846935132
2017-07,Middle Volga,1626.05,1.39966352944955
2018-06,Middle Volga,1605.02,1.38631816274777
2018-05,Urals,1380.73,1.37760775571258
2017-06,Urals,1368.64,1.37144248557584
2019-06,South,1975.62,1.36315797059539
2018-05,Middle Volga,1601.9,1.35844407200943
2017-05,Center,1610.5,1.35379317422329
2018-04,Center,1857.72,1.35217862859489
2017-07,Urals,1337.18,1.3471897830546
2018-06,Siberia,1064.56,1.33956370231645
2018-08,Northwest,1424.82,1.3158742436305
2018-06,Urals,1274.87,1.3091832754379
2017-05,Siberia,949.92,1.30874476048296
2019-09,Siberia,715.38,1.286045886192
2017-07,Siberia,918.37,1.28537321591135
2019-06,Northwest,1508.75,1.2813992658218
2018-07,Northwest,1362.78,1.23093350455621
2018-04,South,1737.9,1.22659056223175
2018-08,South,1899.09,1.22330878879619
2017-09,Northwest,1536.41,1.21158343718322
2017-09,South,1812.02,1.19696136787071
2017-09,Center,1661.18,1.18921439996191
2018-07,Siberia,959.26,1.18736544614607
2019-05,South,1591.23,1.15348679866098
